Format Version,1.23,Take Name,mono3d_angle_t2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2024-09-28 04.06.01.934 PM,Total Frames in Take,3305,Total Exported Frames,3305,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
26,0.260000,0.022637,-0.051716,-0.010981,-0.998345,-0.720327,0.177782,0.067344,0.000561,-0.675213,0.217136,0.091222,0.903262,-0.692355,0.193273,0.033581,0.964513,-0.747563,0.190445,-0.003139,0.890675,-0.767459,0.216050,0.092301,0.887249,-0.673804,0.126815,0.094846,0.600196,-0.765566,0.122972,0.095254,0.853879,-0.675567,0.217248,0.091230,-0.692449,0.193312,0.033485,-0.747569,0.190882,-0.003112,-0.767692,0.216246,0.091926,-0.673422,0.125253,0.095070,-0.765129,0.123216,0.095542,,,
27,0.270000,0.022828,-0.051749,-0.010871,-0.998340,-0.720328,0.177792,0.067347,0.000565,-0.675205,0.217147,0.091207,0.907189,-0.692355,0.193265,0.033576,0.965079,-0.747565,0.190433,-0.003139,0.890550,-0.767451,0.216080,0.092292,0.879165,-0.673814,0.126827,0.094867,0.594093,-0.765577,0.123002,0.095282,0.855592,-0.675563,0.217244,0.091213,-0.692448,0.193308,0.033491,-0.747563,0.190858,-0.003105,-0.767701,0.216243,0.091922,-0.673431,0.125262,0.095059,-0.765129,0.123303,0.095569,,,
28,0.280000,0.022650,-0.051728,-0.010988,-0.998344,-0.720325,0.177755,0.067347,0.000567,-0.675211,0.217110,0.091222,0.907202,-0.692354,0.193246,0.033582,0.966574,-0.747563,0.190416,-0.003136,0.893427,-0.767457,0.216023,0.092303,0.881070,-0.673801,0.126789,0.094849,0.594283,-0.765563,0.122945,0.095259,0.847190,-0.675561,0.217243,0.091213,-0.692451,0.193319,0.033492,-0.747581,0.190860,-0.003111,-0.767632,0.216145,0.091903,-0.673447,0.125254,0.095118,-0.765158,0.123198,0.095553,,,
29,0.290000,0.022647,-0.051753,-0.010943,-0.998343,-0.720317,0.177769,0.067350,0.000579,-0.675199,0.217121,0.091223,0.906446,-0.692346,0.193258,0.033584,0.962201,-0.747557,0.190432,-0.003132,0.888676,-0.767444,0.216041,0.092309,0.886658,-0.673797,0.126799,0.094850,0.600429,-0.765559,0.122963,0.095265,0.859797,-0.675568,0.217222,0.091238,-0.692463,0.193337,0.033514,-0.747571,0.190860,-0.003114,-0.767625,0.216133,0.091900,-0.673421,0.125263,0.095061,-0.765131,0.123292,0.095569,,,
30,0.300000,0.022791,-0.051793,-0.011003,-0.998337,-0.720318,0.177773,0.067345,0.000573,-0.675203,0.217137,0.091204,0.904278,-0.692352,0.193256,0.033573,0.960651,-0.747566,0.190413,-0.003137,0.893023,-0.767449,0.216046,0.092298,0.885956,-0.673789,0.126817,0.094856,0.601145,-0.765550,0.122969,0.095280,0.845093,-0.675556,0.217279,0.091212,-0.692453,0.193317,0.033494,-0.747576,0.190853,-0.003117,-0.767627,0.216139,0.091899,-0.673427,0.125258,0.095072,-0.765148,0.123263,0.095586,,,
31,0.310000,0.022648,-0.051734,-0.011007,-0.998343,-0.720321,0.177762,0.067344,0.000576,-0.675208,0.217120,0.091219,0.904824,-0.692351,0.193255,0.033579,0.964405,-0.747560,0.190423,-0.003139,0.889823,-0.767454,0.216028,0.092301,0.888443,-0.673795,0.126798,0.094845,0.596189,-0.765557,0.122951,0.095257,0.853711,-0.675571,0.217245,0.091213,-0.692446,0.193314,0.033487,-0.747581,0.190872,-0.003108,-0.767633,0.216141,0.091902,-0.673444,0.125255,0.095116,-0.765134,0.123230,0.095545,,,
32,0.320000,0.022805,-0.051782,-0.010881,-0.998339,-0.720328,0.177792,0.067350,0.000558,-0.675204,0.217147,0.091209,0.904173,-0.692357,0.193267,0.033578,0.963662,-0.747570,0.190436,-0.003134,0.887235,-0.767450,0.216078,0.092300,0.886966,-0.673811,0.126826,0.094865,0.598634,-0.765574,0.123001,0.095285,0.854212,-0.675545,0.217266,0.091219,-0.692451,0.193312,0.033492,-0.747577,0.190869,-0.003118,-0.767688,0.216241,0.091927,-0.673425,0.125267,0.095073,-0.765150,0.123269,0.095581,,,
33,0.330000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.675562,0.217250,0.091211,-0.692448,0.193317,0.033489,-0.747580,0.190847,-0.003116,-0.767698,0.216258,0.091925,-0.673418,0.125242,0.095061,-0.765131,0.123234,0.095538,,,
34,0.340000,0.022760,-0.051773,-0.010953,-0.998339,-0.720322,0.177786,0.067348,0.000587,-0.675204,0.217145,0.091210,0.909763,-0.692353,0.193268,0.033577,0.966388,-0.747566,0.190433,-0.003136,0.891618,-0.767450,0.216063,0.092300,0.882087,-0.673799,0.126824,0.094858,0.594963,-0.765561,0.122986,0.095277,0.854433,-0.675557,0.217247,0.091193,-0.692469,0.193352,0.033512,-0.747574,0.190871,-0.003116,-0.767633,0.216152,0.091902,-0.673447,0.125252,0.095120,-0.765132,0.123302,0.095567,,,
35,0.350000,0.022743,-0.051732,-0.010889,-0.998343,-0.720331,0.177787,0.067346,0.000557,-0.675210,0.217139,0.091214,0.908103,-0.692358,0.193266,0.033579,0.960754,-0.747567,0.190439,-0.003139,0.890467,-0.767456,0.216068,0.092296,0.888304,-0.673817,0.126818,0.094859,0.591902,-0.765580,0.122991,0.095270,0.848249,-0.675557,0.217247,0.091222,-0.692454,0.193314,0.033491,-0.747572,0.190862,-0.003113,-0.767697,0.216256,0.091926,-0.673432,0.125261,0.095071,-0.765146,0.123252,0.095553,,,
